,,,,,,,,,,,,,,,,,,"Split 1"
" "," "," ",,,,"Training set",,,," ",,,,"Test set",,,,"Validation set"
" ","T","N","r2", , "q2","MAE","F","r2","q2","MAE","F","r2","q2","MAE","RMSE"
"1","2","230","0.8929", , "0.8909","0.384","1384","0.9290","0.9240","0.349","693","0.8689","0.8609","0.4907","0.6370"
"2","2","230","0.8949", , "0.8929","0.382","1413","0.9247","0.9195","0.359","650","0.8652","0.8572","0.5017","0.6473"
"3","2","230","0.8943", , "0.8923","0.380","1404","0.9242","0.9192","0.353","646","0.8799","0.8723","0.4564","0.6060"
"Av","2","230","0.8940", , "0.8920","0.382","1400","0.9260","0.9209","0.354","663","0.8713","0.8635","0.483","0.6301"
,,,,,,,,,,,,,,,,,,"Split 2"
" "," "," ",,,,"Sub-training set",,,,"Calibration set",,,,"Test set",,,,"Validation set"
"1","2","215","0.8945","0.8905","0.398","695","0.8946","0.8904","0.402","696","0.9210","0.9157","0.376","618","0.8423","0.8331","0.5313","0.6939"
"2","2","215","0.8952","0.8913","0.393","701","0.8959","0.8918","0.403","706","0.9186","0.9131","0.382","598","0.8347","0.8250","0.5343","0.7123"
"3","2","215","0.8966","0.8927","0.393","711","0.8966","0.8925","0.398","711","0.9144","0.9085","0.386","566","0.8644","0.8564","0.4799","0.6402"
"Av","2","215","0.8954","0.8915","0.395","702","0.8957","0.8916","0.401","704","0.918","0.9124","0.381","594","0.8471","0.8382","0.5152","0.6821"
,,,,,,,,,,,,,,,,,,"Split 3"
" "," "," ",,,,"Sub-training set",,,,"Calibration set",,,,"Test set",,,,"Validation set"
"1","2","215","0.8880","0.8836","0.386","650","0.8882","0.8840","0.423","652","0.9204","0.9150","0.385","613","0.8616","0.8528","0.4997","0.6576"
"2","2","215","0.8911","0.8867","0.381","671","0.8913","0.8872","0.410","672","0.9210","0.9154","0.375","618","0.8605","0.8517","0.5020","0.6601"
"3","2","215","0.8901","0.8857","0.379","664","0.8907","0.8866","0.415","669","0.9165","0.9106","0.388","582","0.8622","0.8537","0.5027","0.6570"
"Av","2","215","0.8897","0.8853","0.382","662","0.8901","0.8859","0.416","664","0.9193","0.9137","0.383","604","0.8614","0.8527","0.5015","0.6582"
